"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 15:58:12:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"89","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","16","20","21","23","0","7","3","4","6","0"
"90","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","25","23","14","18","0","7","4","4","5","0"
"92","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","20","21","20","19","0","6","4","6","4","0"
"91","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","22","22","13","23","0","9","4","2","5","0"
"93","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","22","18","24","16","0","5","3","5","7","0"
"94","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","18","13","24","25","0","7","6","2","5","0"
"95","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","19","20","27","14","0","5","3","5","7","0"
"101","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"96","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","21","20","17","22","0","5","6","4","5","0"
"97","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","17","23","22","18","0","7","5","3","5","0"
"102","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"98","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","25","21","11","23","0","8","5","4","3","0"
"99","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","20","22","19","19","0","6","5","4","5","0"
"103","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"104","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"100","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","19","22","17","22","0","6","4","7","3","0"
"105","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"106","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"107","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"108","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"109","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","12","68","0","0","0","0","0","20","0","0"
"110","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","17","0","63","0","0","0","6","14","0"
"111","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"112","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"113","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"114","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"115","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"116","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"117","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"118","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"120","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"119","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","500","0","47","0","33","0","0","0","1","19","0"
"121","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"122","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"123","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"124","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"125","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"126","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"127","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"128","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"129","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"130","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"132","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"133","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"131","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"134","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"135","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"136","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"137","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"138","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"139","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"140","0.5","1","0.5","5","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"141","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"142","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"143","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"144","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"146","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"145","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"148","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"147","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"149","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"150","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"153","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
