"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 14:12:01:555 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"54","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","0","12","58","0","0","0","8","22"
"56","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","11","0","59","0","11","0","0","19"
"58","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","13","0","57","0","12","0","0","18"
"57","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","13","0","0","57","0","0","11","0","19"
"60","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","0","12","58","0","0","0","10","20"
"59","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","14","0","0","56","0","0","10","0","20"
"61","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","0","15","45","0","0","0","15","25"
"62","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","0","15","45","0","0","0","16","24"
"63","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","9","0","0","0","51","9","0","0","0","31"
"64","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","9","0","0","0","51","9","0","0","0","31"
"65","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","11","0","0","49","0","0","11","0","29"
"66","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","10","0","0","50","0","0","10","0","30"
"67","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","13","0","0","0","47","13","0","0","0","27"
"68","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","12","0","0","48","0","0","13","0","27"
"69","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","15","0","0","45","0","0","16","0","24"
"70","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","17","0","43","0","15","0","0","25"
"72","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","16","0","44","0","14","0","0","26"
"71","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","15","0","0","45","0","0","13","0","27"
"74","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","14","0","0","46","0","0","13","0","27"
"75","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","10","0","50","0","13","0","0","27"
"73","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","14","0","46","0","13","0","0","27"
"76","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","0","13","47","0","0","0","11","29"
"78","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","12","0","0","48","0","0","13","0","27"
"77","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","17","0","43","0","13","0","0","27"
"79","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","0","0","0","13","47","0","0","0","13","27"
"80","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.4","500","12","0","0","0","48","12","0","0","0","28"
"83","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","3","87","0","0","0","3","0","7","0","0"
"81","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"82","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","1","0","9","0"
"86","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","89","0","0","0","1","10","0","0","0","0"
