"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 17:19:55:486 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"102","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"104","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","18","0","2","0","0"
"103","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"105","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","1","0","19","0"
"106","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","79","0","1","0","0","20","0","0","0","0"
"109","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","79","0","0","0","1","20","0","0","0","0"
"108","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"107","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"110","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"111","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","1","0","19","0","0"
"112","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","1","0","19","0"
"113","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","5","74","1","0","0","5","0","15","0","0"
"114","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"116","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"115","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"117","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"118","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"119","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","9","71","0","0","4","0","16","0"
"121","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","70","0","0","0","2","0","28","0","0"
"120","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"122","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","0","70","0","0","0","0","30","0"
"123","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","70","0","0","0","30","0","0","0"
"124","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","70","0","0","0","0","30","0","0","0","0"
"126","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","24","0","46","0","0","2","28","0","0","0"
"125","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","0","70","0","0","0","0","30","0"
"127","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","0","70","0","0","0","0","30","0"
"128","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","0","70","0","0","0","0","30","0"
"130","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","70","0","0","0","30","0","0","0"
"129","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","70","0","0","0","30","0","0","0"
