"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 09:45:59:549 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"72","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","44","0","0","0","16","35","0","0","0","5"
"75","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","41","0","0","0","19","33","0","0","0","7"
"76","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","41","0","5","14","0","0","0","35","5"
"74","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","42","2","1","0","15","27","0","7","1","5"
"73","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","37","2","2","0","19","26","2","7","0","5"
"77","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","44","16","0","30","0","6","4"
"78","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","46","0","0","0","14","17","0","19","0","4"
"80","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","28","2","9","0","21","20","1","14","1","4"
"79","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","30","0","7","23","0","0","0","36","4"
"81","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","0","63","0","0","27","0","0","10","0","0"
"82","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","70","0","0","0","20","9","0","1","0","0"
"84","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","75","0","0","0","15","9","0","1","0","0"
"86","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","53","0","0","0","37","10","0","0","0","0"
"88","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","62","0","0","0","28","10","0","0","0","0"
"87","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","0","75","0","0","15","0","0","0","10","0"
"83","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","63","5","7","1","14","9","1","0","0","0"
"89","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","65","1","0","0","24","9","0","1","0","0"
"85","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","0","0","85","0","5","0","10","0","0","0"
"90","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","0","74","0","0","16","0","1","0","9","0"
"91","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","67","1","0","0","22","10","0","0","0","0"
"92","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","0","83","0","0","7","0","0","0","10","0"
"94","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","72","0","0","0","18","9","0","1","0","0"
"95","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","66","4","2","0","18","9","0","1","0","0"
"97","0.5","1","0.5","0","true","0.002","0.2","100","2","2","250","0.1","500","0","71","0","0","19","0","0","10","0","0"
